Patente,Hora,T_viaje,T_viaje_str,Velocidad
AC584GF,2019-10-03T04:06:50,186,0:03:06,29.032258064516128
AB819KD,2019-10-03T04:11:14,138,0:02:18,39.130434782608695
AB864MY,2019-10-03T04:12:59,140,0:02:20,38.57142857142857
OUU807,2019-10-03T04:37:38,138,0:02:18,39.130434782608695
FHH265,2019-10-03T04:57:48,129,0:02:09,41.860465116279066
AC420ZJ,2019-10-03T05:01:00,130,0:02:10,41.53846153846154
AB369BS,2019-10-03T05:06:54,186,0:03:06,29.032258064516128
AB105HA,2019-10-03T05:09:32,125,0:02:05,43.2
NUV265,2019-10-03T05:22:52,148,0:02:28,36.486486486486484
JBF570,2019-10-03T05:26:52,207,0:03:27,26.086956521739133
AD042KV,2019-10-03T05:34:54,160,0:02:40,33.75
AO588JU,2019-10-03T05:37:51,135,0:02:15,40.0
OXY596,2019-10-03T05:37:54,143,0:02:23,37.76223776223777
AA038XP,2019-10-03T05:39:25,129,0:02:09,41.860465116279066
AA315UD,2019-10-03T05:44:55,187,0:03:07,28.877005347593585
AB384OM,2019-10-03T05:50:56,133,0:02:13,40.6015037593985
AA324EN,2019-10-03T05:52:57,171,0:02:51,31.578947368421055
AD371NE,2019-10-03T05:52:59,150,0:02:30,36.0
AC471SZ,2019-10-03T05:56:51,190,0:03:10,28.421052631578945
AD903UE,2019-10-03T06:05:28,128,0:02:08,42.1875
AD711DS,2019-10-03T06:05:42,126,0:02:06,42.85714285714286
AD584SY,2019-10-03T06:09:30,133,0:02:13,40.6015037593985
IWU055,2019-10-03T06:09:34,103,0:01:43,52.42718446601942
AB942HO,2019-10-03T06:13:28,131,0:02:11,41.221374045801525
IHH914,2019-10-03T06:15:31,213,0:03:33,25.35211267605634
AA203FR,2019-10-03T06:15:32,115,0:01:55,46.95652173913043
AC907KA,2019-10-03T06:15:34,134,0:02:14,40.298507462686565
AC837XE,2019-10-03T06:17:36,107,0:01:47,50.467289719626166
AA250AJ,2019-10-03T06:17:39,126,0:02:06,42.85714285714286
AB097AH,2019-10-03T06:21:19,109,0:01:49,49.54128440366973
MZT999,2019-10-03T06:23:42,111,0:01:51,48.64864864864865
AD514GR,2019-10-03T06:28:58,171,0:02:51,31.578947368421055
AD769KJ,2019-10-03T06:29:36,113,0:01:53,47.78761061946903
AD802ZB,2019-10-03T06:31:12,103,0:01:43,52.42718446601942
AA961XX,2019-10-03T06:31:33,110,0:01:50,49.09090909090909
AA461RV,2019-10-03T06:35:47,111,0:01:51,48.64864864864865
NJH456,2019-10-03T06:36:51,229,0:03:49,23.580786026200872
HUN810,2019-10-03T06:37:11,103,0:01:43,52.42718446601942
AB127HG,2019-10-03T06:37:14,118,0:01:58,45.76271186440678
AB388ET,2019-10-03T06:37:32,112,0:01:52,48.214285714285715
ABU793,2019-10-03T06:37:44,113,0:01:53,47.78761061946903
AA377MG,2019-10-03T06:39:23,103,0:01:43,52.42718446601942
AC393CM,2019-10-03T06:39:31,113,0:01:53,47.78761061946903
HVB464,2019-10-03T06:39:33,107,0:01:47,50.467289719626166
NUN550,2019-10-03T06:44:52,276,0:04:36,19.565217391304348
